Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C7",CP_Radial_D5.0mm_P2.00mm,3,10u,
C3,C_Disc_D3.0mm_W2.0mm_P2.50mm,1,330p,
"C4, C5, C6",C_Disc_D3.0mm_W2.0mm_P2.50mm,3,0.1u,
C8,CP_Radial_D10.0mm_P5.00mm,1,10u,
D1,LED_D3.0mm,1,ON,
D2,D_DO-35_SOD27_P7.62mm_Horizontal,1,4148,
D3,D_DO-15_P12.70mm_Horizontal,1,UF2010,
J1,BarrelJack_GCT_DCJ200-10-A_Horizontal,1,Barrel_Jack_Switch,
"J10, J11, J2, J7, J8, J9",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,6,Conn_01x02_Pin,
"J12, J3",TerminalBlock_TB111-2-2_P5.08mm,2,Screw_Terminal_01x02,
"J4, J5",JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,2,Conn_01x03_Pin,
J6,TerminalBlock_TB111-2-3_P5.08mm,1,Screw_Terminal_01x03,
L1,RCH-110,1,220u,
Q1,TO-92_Inline,1,2SA1015,
Q2,TO-220-3_Horizontal_TabDown,1,TK10A60D,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,10k,
R2,R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,1,0.2,
"R3, R4",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,1k,
R5,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,470,
R6,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,470k,
R7,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,3.3k,
RV1,Potentiometer_GF063P,1,100k,
SW1,Switch_Toggle_2MS1-T1-B4-M2-Q-E,1,SW_SPDT,
U1,TO-220-3_Horizontal_TabDown,1,NJM7805,
U2,DIP-8_W7.62mm_Socket,1,NJM2360AD,
